Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年9月23日,21.659,58.62,10.00847133,252.00%,15.28425685,156.00%,15.09219208,-15.00%,36.44581975,40.00%
2013年9月24日,21.705,58.08,10.12369989,256.00%,15.16067601,153.00%,16.8820275,-4.00%,36.33947287,39.00%
2013年9月25日,21.8,47.71,8.51353278,195.00%,14.76458098,145.00%,10.1480999,-43.00%,36.52993441,40.00%
2013年9月26日,21.7318,46.28,0.815445765,-98.00%,14.72944755,144.00%,56.24121599,221.00%,40.96858136,62.00%
2013年9月27日,21.7902,45.3,0.838020067,-97.00%,14.7806815,145.00%,68.42569541,290.00%,46.4189933,89.00%
2013年9月30日,21.6998,45.33,0.669169238,-104.00%,14.02730585,129.00%,66.94502089,282.00%,51.19082717,112.00%
2013年10月1日,21.1798,32.69,3.702177891,12.00%,13.179132,112.00%,48.00755591,174.00%,51.87857404,116.00%
2013年10月2日,21.724,37.05,3.565912634,7.00%,12.66483794,101.00%,22.27014953,26.00%,52.7297001,120.00%
2013年10月3日,21.6638,20.76,3.488688178,4.00%,12.37090806,95.00%,22.0671443,25.00%,53.8786312,126.00%
2013年10月4日,21.735,20.61,3.361487431,-1.00%,10.80466081,62.00%,18.24744884,3.00%,54.98452722,131.00%
2013年10月7日,22.3715,25.72,6.01796529,100.00%,9.05580318,26.00%,15.89788973,-10.00%,54.95827702,131.00%
2013年10月8日,22.3055,25.93,4.932646326,59.00%,8.417809315,12.00%,16.53695464,-6.00%,55.03058271,131.00%
2013年10月9日,21.8678,28.53,4.663100346,48.00%,7.12446724,-15.00%,15.61313305,-12.00%,55.24626416,132.00%
2013年10月10日,21.6887,28.89,4.577551795,45.00%,7.161939942,-14.00%,13.46729352,-24.00%,52.0761298,117.00%
2013年10月11日,21.3375,30.1,6.139249468,105.00%,7.362882899,-10.00%,10.71168216,-40.00%,48.91938617,101.00%
2013年10月14日,21.263,26.99,6.011425997,100.00%,7.683065529,-3.00%,10.68860424,-40.00%,47.2313493,93.00%
2013年10月15日,21.363,22.73,3.703552148,12.00%,7.873021855,1.00%,14.70739076,-17.00%,46.23731165,88.00%
2013年10月16日,21.405,22.81,2.319662395,-41.00%,6.798873895,-22.00%,22.8428799,30.00%,46.82229673,91.00%
2013年10月17日,21.8755,25.97,3.465316713,3.00%,4.749654744,-64.00%,23.84573558,35.00%,45.07832773,82.00%
2013年10月18日,21.9285,19.81,4.411459758,39.00%,4.812133103,-63.00%,19.3263463,10.00%,41.61436913,65.00%
2013年10月21日,22.225,21.5,5.224568966,70.00%,5.148463395,-56.00%,15.41199919,-13.00%,36.73738859,41.00%
2013年10月22日,22.7015,20.76,6.786023289,129.00%,6.186918761,-34.00%,24.14388701,37.00%,31.55067006,15.00%
2013年10月23日,22.5498,20.48,5.206190841,69.00%,6.760391073,-22.00%,17.36457379,-2.00%,27.63263434,-4.00%
2013年10月24日,22.704,16.23,4.795720365,54.00%,7.438336264,-8.00%,12.82872521,-27.00%,25.18494775,-16.00%
2013年10月25日,22.5435,17.07,2.769619451,-24.00%,7.804187943,-1.00%,20.44012698,16.00%,22.70652205,-28.00%
2013年10月28日,22.5043,17.63,1.34675545,-78.00%,8.040330349,4.00%,30.31987854,72.00%,21.43001933,-35.00%
2013年10月29日,22.5305,17.69,1.119776308,-86.00%,7.755776081,-2.00%,26.94188699,53.00%,24.07419336,-22.00%
2013年10月30日,22.7585,15.19,1.631082501,-67.00%,8.103596674,6.00%,21.52492597,22.00%,25.59426546,-14.00%
2013年10月31日,21.9137,27.39,4.495378555,42.00%,7.986761876,3.00%,19.80882653,12.00%,25.52889969,-14.00%
2013年11月1日,21.8825,26.15,5.621561451,85.00%,7.919479334,2.00%,29.3809226,67.00%,25.8460633,-13.00%
2013年11月4日,21.6575,22.38,6.678592547,125.00%,7.983333247,3.00%,34.7184059,98.00%,26.5042858,-10.00%
2013年11月5日,21.707,22.71,6.343552308,112.00%,8.012168697,4.00%,28.92719336,65.00%,27.36746394,-5.00%
2013年11月6日,21.8187,22.46,1.570758417,-69.00%,8.026449897,4.00%,29.27686801,67.00%,28.98709349,3.00%
2013年11月7日,21.6665,22.45,1.412564911,-75.00%,8.038902885,4.00%,37.13627074,111.00%,30.51086173,10.00%
2013年11月8日,21.51,22.43,1.575185941,-69.00%,7.867062282,1.00%,38.86642796,121.00%,30.66375391,11.00%
2013年11月11日,21.364,22.13,2.526196901,-33.00%,7.744456828,-2.00%,29.70063482,69.00%,29.89289086,7.00%
2013年11月12日,20.737,23.12,5.928851577,97.00%,8.717658664,19.00%,27.13217381,54.00%,30.91687341,12.00%
2013年11月13日,20.6228,16.09,6.68299463,125.00%,9.799727869,41.00%,35.47022863,102.00%,32.01895937,18.00%
2013年11月14日,20.7868,17.79,5.721055504,89.00%,10.64943598,59.00%,32.33698519,84.00%,32.50979441,20.00%
2013年11月15日,20.805,17.86,4.10130074,27.00%,11.34162868,73.00%,23.69740846,35.00%,32.48914301,20.00%
2013年11月18日,20.4185,18.83,2.264614451,-43.00%,12.31887487,94.00%,25.08675497,43.00%,32.7843092,21.00%
