Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2014年1月2日,4.321,41,1.237462436,23.00%,2.106895626,-2.00%,7.131973051,73.00%,6.523833645,-7.00%
2014年1月3日,4.304,30.03,1.140112416,11.00%,1.659126111,-36.00%,6.95012536,68.00%,6.218749812,-13.00%
2014年1月6日,4.306,29.91,1.003319132,-7.00%,1.497172029,-48.00%,5.532716864,29.00%,6.224135814,-12.00%
2014年1月7日,4.299,28.9,0.505697143,-72.00%,1.262001305,-65.00%,4.296739759,-5.00%,6.525370358,-7.00%
2014年1月8日,4.216,29.92,0.592559465,-61.00%,1.281847175,-64.00%,4.666766195,5.00%,6.359573166,-10.00%
2014年1月9日,4.005,38.11,1.83423052,101.00%,1.723624202,-31.00%,7.529181989,84.00%,6.680428931,-4.00%
2014年1月10日,4.053,40.08,1.982710145,121.00%,1.985338378,-11.00%,9.794145366,147.00%,7.436323947,11.00%
2014年1月13日,4.274,52.2,1.884795501,108.00%,1.959809013,-13.00%,10.54638835,168.00%,7.764922275,18.00%
2014年1月14日,4.369,47.06,2.159740651,144.00%,1.965835748,-12.00%,8.89384999,122.00%,8.64915957,35.00%
2014年1月15日,4.325,46.25,2.345571214,168.00%,1.962714211,-13.00%,2.990255882,-41.00%,9.609864604,54.00%
2014年1月16日,4.382,46.67,1.903792342,110.00%,1.974826087,-12.00%,2.772007879,-47.00%,9.781697172,57.00%
2014年1月17日,4.326,47.35,0.605183212,-59.00%,1.958983872,-13.00%,9.70963263,145.00%,9.965374312,60.00%
2014年1月21日,4.431,48.95,0.62575369,-56.00%,1.934379827,-15.00%,12.03613949,209.00%,10.17984526,65.00%
2014年1月22日,4.689,54.21,2.144236479,142.00%,2.317298136,14.00%,11.99546004,208.00%,10.69035476,75.00%
2014年1月23日,4.73,38.92,2.626827684,205.00%,2.680144484,41.00%,13.05170249,238.00%,11.71468928,95.00%
2014年1月24日,5.182,54.73,4.717422991,477.00%,3.996908064,141.00%,24.10486121,544.00%,16.63665108,191.00%
2014年1月27日,4.847,71.69,3.879275025,368.00%,4.319381063,165.00%,22.4821353,499.00%,18.0263679,218.00%
2014年1月28日,5.033,72.75,2.955991935,248.00%,4.858889279,206.00%,14.62821352,281.00%,17.87190373,215.00%
2014年1月29日,5.557,83.07,4.581168445,460.00%,6.27570785,312.00%,13.34856827,246.00%,19.46569766,246.00%
2014年1月30日,5.011,109.27,3.813927739,360.00%,6.449941983,325.00%,10.01744967,153.00%,20.21471431,260.00%
2014年1月31日,4.943,109.34,3.93701109,376.00%,6.555808407,333.00%,8.224838139,104.00%,20.86512734,273.00%
2014年2月3日,4.905,109.8,3.779418622,355.00%,6.586589416,336.00%,8.221253093,104.00%,21.07417196,277.00%
2014年2月4日,5.375,115.92,4.128182787,401.00%,7.043506609,370.00%,4.65500649,5.00%,21.24850812,280.00%
2014年2月5日,5.03,124.01,2.656131081,208.00%,7.04161367,370.00%,8.222917168,104.00%,19.90127135,254.00%
2014年2月6日,4.931,113.35,2.765891451,223.00%,6.866343812,357.00%,9.795498422,147.00%,18.42541741,225.00%
2014年2月7日,4.775,108.69,3.221272097,282.00%,6.325756612,316.00%,9.039408321,126.00%,18.16435118,220.00%
2014年2月10日,4.579,107.74,4.22948848,414.00%,5.801635933,277.00%,10.5435403,168.00%,18.49519486,227.00%
2014年2月11日,4.824,94.36,2.420420525,178.00%,5.47901773,252.00%,10.17052997,158.00%,18.19765799,221.00%
2014年2月12日,4.822,78.08,1.833966717,101.00%,5.222986777,233.00%,12.80827103,231.00%,18.41511985,225.00%
2014年2月13日,5.223,89.74,3.326148475,296.00%,5.029446517,218.00%,13.0177279,237.00%,18.3160917,223.00%
2014年2月14日,5.214,89.5,3.969117141,380.00%,4.79917332,201.00%,14.42980806,276.00%,18.14084733,220.00%
2014年2月18日,5.551,81.61,4.384324112,434.00%,4.753335458,198.00%,15.03140292,292.00%,16.16848753,181.00%
2014年2月19日,6.149,84.93,7.040392739,781.00%,5.886065668,283.00%,27.01191155,625.00%,17.93600359,216.00%
2014年2月20日,6.064,84.02,6.358301434,692.00%,6.680260541,343.00%,22.72940711,506.00%,19.42918819,245.00%
2014年2月21日,6.135,77.75,5.967485742,641.00%,7.370251199,395.00%,18.65740625,393.00%,20.24070312,261.00%
2014年2月24日,5.445,106.23,4.857084755,496.00%,7.417158041,398.00%,15.45749369,304.00%,20.30887972,262.00%
2014年2月25日,5.096,113.15,6.820124597,752.00%,7.302565856,390.00%,12.24084429,215.00%,22.50862856,305.00%
2014年2月26日,4.855,116.93,8.099988444,919.00%,7.394017548,397.00%,16.85053252,343.00%,25.85146105,370.00%
2014年2月27日,4.511,112.16,8.805585936,1011.00%,7.695668466,419.00%,22.58445457,502.00%,30.00311553,451.00%
2014年2月28日,4.609,113.82,5.375891249,563.00%,7.93569741,437.00%,24.09101186,544.00%,29.96054472,450.00%
2014年3月3日,4.492,104.05,3.670502047,341.00%,8.248399682,461.00%,29.47109256,693.00%,30.05995186,452.00%
2014年3月4日,4.667,82.29,2.076938978,133.00%,8.376488583,471.00%,40.60319443,1001.00%,31.25967908,476.00%
2014年3月5日,4.523,81.67,1.058799924,0.00%,8.572569795,485.00%,43.32839601,1077.00%,33.56278537,521.00%
2014年3月6日,4.662,85.47,1.135115007,10.00%,8.69667354,495.00%,26.20611171,602.00%,34.96844613,548.00%
2014年3月7日,4.618,66.71,1.14387258,11.00%,8.826510529,504.00%,15.86811411,316.00%,36.33024625,575.00%
2014年3月10日,4.651,60.98,0.847728447,-28.00%,8.886786987,509.00%,6.759776693,63.00%,38.09502525,609.00%
2014年3月11日,4.605,56.47,0.778556819,-37.00%,8.869574363,508.00%,2.400972698,-58.00%,39.85850004,643.00%
2014年3月12日,4.49,41.73,0.9723392,-11.00%,9.05270448,522.00%,2.343288699,-59.00%,40.88260933,663.00%
2014年3月13日,4.383,41.11,1.576894061,68.00%,9.309940004,541.00%,4.524055214,1.00%,41.05766929,667.00%
2014年3月14日,4.425,39.85,1.62908033,74.00%,9.482506023,554.00%,5.819958235,37.00%,41.77696437,681.00%
2014年3月17日,4.536,35.94,1.249774508,25.00%,9.544230229,559.00%,5.26277614,22.00%,42.71051672,699.00%
2014年3月18日,4.456,33.11,0.834763679,-29.00%,9.379185762,546.00%,5.020187873,15.00%,43.73916362,719.00%
2014年3月19日,4.484,27.65,0.823971067,-31.00%,8.145465599,453.00%,5.502804176,28.00%,42.70139964,699.00%
2014年3月20日,4.369,29.98,0.889369215,-22.00%,6.712520311,345.00%,4.980645501,14.00%,41.79384554,681.00%
2014年3月21日,4.313,29.01,1.274421469,28.00%,4.190469714,155.00%,3.23136819,-35.00%,40.63515824,658.00%
2014年3月24日,4.276,29,1.270301885,28.00%,2.978332697,64.00%,3.308418574,-33.00%,40.12331098,648.00%
2014年3月25日,4.411,33.67,1.161363199,13.00%,2.209224374,6.00%,3.032404284,-40.00%,37.14171249,590.00%
2014年3月26日,4.402,30.94,0.826170152,-30.00%,1.844546594,-22.00%,3.022921785,-41.00%,30.61927998,463.00%
2014年3月27日,4.584,37.64,1.693249751,83.00%,1.871396866,-20.00%,4.404122669,-2.00%,17.32017456,204.00%
2014年3月28日,4.485,37.58,1.612481218,72.00%,1.824855547,-23.00%,5.000336992,14.00%,10.16425085,64.00%
2014年3月31日,4.371,38.94,1.214066753,20.00%,1.874377362,-19.00%,5.036991804,15.00%,5.516133123,-26.00%
2014年4月1日,4.276,39.9,1.657608784,78.00%,1.886168045,-18.00%,5.319051236,23.00%,4.827253468,-40.00%
2014年4月2日,4.364,39.86,1.699595717,84.00%,1.906767551,-17.00%,2.909915992,-44.00%,5.120549876,-34.00%
2014年4月3日,4.47,40.94,1.217416412,21.00%,1.749720209,-29.00%,3.456043272,-29.00%,5.112376249,-34.00%
2014年4月4日,4.439,40.78,1.068532452,1.00%,1.631005308,-38.00%,4.077130764,-11.00%,5.13286537,-34.00%
2014年4月7日,4.476,37.61,1.203618544,19.00%,1.436749127,-52.00%,4.09794379,-11.00%,4.956772031,-37.00%
2014年4月8日,4.534,37.99,0.881891422,-23.00%,1.341487125,-59.00%,4.303012748,-5.00%,4.849212002,-39.00%
2014年4月9日,4.586,31.36,0.832284567,-30.00%,1.440705091,-52.00%,2.532000756,-54.00%,4.96857363,-37.00%
2014年4月10日,4.655,29.18,1.222522638,21.00%,1.629198214,-38.00%,2.55010026,-54.00%,4.80620561,-40.00%
2014年4月11日,4.62,24.36,1.004614314,-7.00%,1.739783208,-29.00%,2.548589857,-54.00%,4.606701133,-44.00%
2014年4月14日,4.56,21.3,0.679903523,-49.00%,1.756544206,-28.00%,2.887084489,-44.00%,4.912664451,-38.00%
2014年4月15日,4.567,19.85,0.562647741,-65.00%,1.799742403,-25.00%,3.715831593,-21.00%,5.2159043,-32.00%
2014年4月16日,4.53,17.22,0.71308883,-45.00%,1.814512862,-24.00%,3.836403963,-18.00%,5.313692783,-30.00%
2014年4月17日,4.741,28.36,1.183799848,16.00%,2.023538537,-8.00%,3.643065193,-23.00%,5.239849021,-32.00%
2014年4月21日,4.697,29.71,1.329559927,35.00%,2.054511114,-6.00%,4.825728588,9.00%,5.259915452,-31.00%
2014年4月22日,4.739,29.46,1.412470856,46.00%,2.035669017,-7.00%,5.397302269,25.00%,5.322915539,-30.00%
2014年4月23日,4.73,29.38,1.27426327,28.00%,2.111520609,-1.00%,3.909657366,-16.00%,5.337899487,-30.00%
2014年4月24日,4.705,28.81,0.286375418,-101.00%,2.120304837,-1.00%,6.543972939,57.00%,6.048393776,-16.00%
2014年4月25日,4.647,29.4,0.511898115,-71.00%,2.142835131,1.00%,7.427467477,82.00%,6.061648598,-16.00%
2014年4月28日,4.795,32.23,0.764248337,-38.00%,2.277971646,11.00%,6.867303947,66.00%,5.825842006,-20.00%
2014年4月29日,4.831,32.14,1.035310041,-3.00%,2.316217852,14.00%,5.613005208,31.00%,5.789722271,-21.00%
2014年4月30日,4.815,31.54,1.124184184,9.00%,2.102414244,-2.00%,4.985213623,14.00%,5.333959736,-30.00%
2014年5月1日,4.719,24.22,1.093641843,5.00%,1.884089706,-19.00%,3.722527165,-21.00%,4.708471089,-42.00%
2014年5月2日,4.674,24.25,0.956083009,-13.00%,1.771742407,-27.00%,2.042871643,-68.00%,4.621531691,-44.00%
2014年5月5日,4.688,23.7,1.035163987,-3.00%,1.583288506,-41.00%,0.916273982,-99.00%,4.612823072,-44.00%
2014年5月6日,4.799,27.12,0.914735372,-19.00%,1.482612658,-49.00%,1.261200779,-89.00%,4.524369937,-46.00%
2014年5月7日,4.74,27.96,0.699271621,-47.00%,1.387906822,-56.00%,2.147567746,-65.00%,4.597916861,-44.00%
2014年5月8日,4.572,33.87,1.197640881,18.00%,1.402883767,-55.00%,2.580910416,-53.00%,4.671444121,-43.00%
2014年5月9日,4.531,27.35,1.598681957,70.00%,1.510262159,-47.00%,4.797848692,9.00%,5.108690746,-34.00%
2014年5月12日,4.434,27.06,2.143314891,142.00%,1.74284381,-29.00%,8.155222078,102.00%,6.530307766,-6.00%
2014年5月13日,4.358,27.06,2.065150842,131.00%,2.042447572,-7.00%,8.599373479,114.00%,7.317044767,9.00%
