Date,Price,Open,High,Low,Vol.,Change %,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,SPX_Price,SPX and HSI 比例,input1 動能差,input 5,SHComp_input 3 Price,SHComp_Vol.,SHComp_Change %,CNH input 2 Price,Change %,input 7 deviation,US10yT_input 4 Price,US10yT_Change %,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
2017/11/28,29680.85,29608.64,29687.45,29334.59,1.8,-0.0002,-0.0001798978,0.1114247552,-0.9324063618,0.1181389994,0.16041391,0.5568367276,1.291333174,0.1231916829,-2.033446914,3.324780088,2601.42,11.40948021,-6.067147962,11.45993559,3333.66,13.82,0.0034,6.6081,0.0016,0.0034345553,2.331,-0.0046,-0.9353947613,-0.0066221099,-0.0393285164
2017/11/29,29623.83,29813.94,29831.19,29563.39,1.48,-0.0019,-0.0019229517,0.091935445,-1.314514048,0.1131828521,-0.446208768,0.6064274769,1.494441355,0.1238305865,-1.946814791,3.441256145,2627.04,11.27650512,349.3308829,11.40641448,3337.86,18.38,0.0013,6.6122,0.0006,0.0012590836,2.326,-0.0021,-1.35529345,0.0243024388,-0.0259137597
2017/11/30,29177.35,29340.27,29353.51,29127.3,2.51,-0.0151,-0.0151863817,0.1214861074,-0.3311959124,0.1275185996,1.257549651,0.5855074641,0.7071389925,0.1295887926,-1.543816263,2.250955255,2626.07,11.11065204,435.54179,11.34074936,3317.19,15.66,-0.0062,6.6114,-0.0001,-0.0062118441,2.388,0.0267,-1.284554081,0.0027163626,-0.009499303
2017/12/1,29074.24,29261.31,29345.97,29028.76,2.15,-0.0035,-0.0035401646,0.093575633,-0.7259311457,0.1283705524,1.230864292,0.5723173001,0.2391548094,0.1352756061,-1.165891193,1.405046003,2647.58,10.98143965,342.1001254,11.237045,3317.62,13.92,0.0001,6.5949,-0.0025,0.0001296194,2.415,0.0113,-0.9340461158,0.0533087527,0.0271370466
2017/12/4,29138.28,28951.19,29343.78,28803.19,1.67,0.0022,0.0022002149,0.1071737185,0.1651720201,0.1283967785,1.116447955,0.1974641488,-1.778837702,0.1395446143,-0.8749706672,-0.9038670351,2642.22,11.02795377,-122.9005165,11.16120616,3309.62,14.81,-0.0024,6.6171,0.0034,-0.0024142792,2.363,-0.0215,0.0132676661,0.0643148593,0.066369446
2017/12/5,28842.8,28898.58,29124.24,28838.12,1.48,-0.0101,-0.0101923786,0.1098423223,0.4111560755,0.1247025829,0.6791408485,0.1945791354,-1.100386595,0.140555117,-0.762111656,-0.3382749385,2639.44,10.92762101,264.8222885,11.06483432,3303.68,20.83,-0.0018,6.6176,0.0001,-0.0017963805,2.372,-0.02,0.7378954018,0.0839834106,0.0890230877
2017/12/6,28224.8,28850.36,28929.21,28204.53,2.69,-0.0214,-0.021659371,0.1491116379,1.573975887,0.1459215398,2.426503665,0.3315518823,-0.231615861,0.1704340712,0.7126775403,-0.9442934013,2629.57,10.73361804,510.1443806,10.9562569,3293.96,15.16,-0.0029,6.618,0.0001,-0.0029465103,2.353,-0.008,1.189478008,0.0417935756,0.0746673297
2017/12/7,28303.19,28366.14,28478.34,28134.93,1.84,0.0028,0.0027734951,0.1613090381,1.266878671,0.1427935556,1.855596457,0.4649604741,0.6789514884,0.1883832628,1.449514164,-0.7705626758,2629.27,10.76465711,-81.61008541,10.88705792,3272.05,13.21,-0.0067,6.6239,0.0009,-0.0066737886,2.34,-0.0055,1.155441953,0.0267679633,0.0638745314
2017/12/8,28639.85,28400.01,28705.76,28344.39,1.8,0.0119,0.0118245855,0.2069852114,1.46043315,0.1503831529,2.086668409,0.6532794955,1.465088688,0.2155529924,2.216958971,-0.7518702823,2636.98,10.86085219,-253.6644937,10.86294042,3289.99,13.32,0.0055,6.6232,-0.0001,0.0054678255,2.362,0.0094,0.6395991708,-0.0250095501,0.0350912757
2017/12/11,28965.29,28645.41,28998.51,28645.41,2.19,0.0114,0.0112991119,0.2301946794,1.230069163,0.1561951832,2.083761104,0.7576244483,1.207531237,0.2473355362,2.616034903,-1.408503666,2651.5,10.92411465,-167.7404262,10.8421726,3322.2,13.2,0.0098,6.6215,-0.0003,0.0097426888,2.378,0.0068,-0.4707418253,-0.061558757,-0.0028526554
