Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2014年7月24日,107.07,14.44,5.4539967,-107.00%,35.70193091,30.00%,56.54186343,-12.00%,53.35280987,-101.00%
2014年7月25日,108.39,15.77,7.510504643,-81.00%,31.67691373,3.00%,52.94447766,-20.00%,53.55095046,-100.00%
2014年7月28日,107.57,15.48,7.557599619,-81.00%,28.63311732,-17.00%,35.93624156,-56.00%,55.86370301,-95.00%
2014年7月29日,107.72,15.36,7.040554524,-87.00%,24.72851565,-43.00%,17.61448185,-96.00%,58.14305322,-90.00%
2014年7月30日,106.51,12.81,10.03710875,-50.00%,22.54900621,-58.00%,23.36906347,-83.00%,58.47452282,-89.00%
2014年7月31日,106.02,12.66,13.6245085,-5.00%,20.39899618,-72.00%,39.19528204,-49.00%,58.61583198,-89.00%
2014年8月1日,104.84,13.21,16.82140636,35.00%,19.6361732,-77.00%,59.06937755,-7.00%,61.07820283,-84.00%
2014年8月4日,105.41,13.95,15.65487272,20.00%,17.75410464,-90.00%,57.53128986,-10.00%,62.17704854,-81.00%
2014年8月5日,104.61,13.2,11.27845521,-34.00%,18.61239239,-84.00%,40.54449795,-46.00%,62.23435856,-81.00%
2014年8月6日,104.59,12.88,8.72410729,-66.00%,19.66405773,-77.00%,46.57755109,-33.00%,61.30542511,-83.00%
2014年8月7日,105.44,11.43,5.961210615,-101.00%,18.81400612,-83.00%,65.00274426,6.00%,63.60897431,-78.00%
2014年8月8日,105.02,11.13,5.859908532,-102.00%,19.61936093,-77.00%,58.29234063,-8.00%,61.0379745,-84.00%
2014年8月11日,104.68,10.85,5.165829265,-110.00%,20.56523477,-71.00%,36.35863157,-55.00%,62.32186471,-81.00%
2014年8月12日,103.02,12.2,13.03721443,-12.00%,23.79518388,-50.00%,46.20200309,-34.00%,59.87304154,-86.00%
2014年8月13日,104.28,14.84,13.13749565,-11.00%,24.77376906,-43.00%,57.90926095,-9.00%,57.16059223,-92.00%
2014年8月14日,102.01,17.88,17.82712181,47.00%,27.93980319,-22.00%,76.39141058,31.00%,63.08651177,-79.00%
2014年8月15日,103.53,19.92,14.97954766,12.00%,28.6274378,-17.00%,66.77444671,10.00%,64.8564635,-75.00%
2014年8月18日,101.6,21.77,15.54904602,19.00%,31.04764781,-1.00%,28.01464962,-73.00%,66.47551612,-72.00%
2014年8月19日,101.56,21.76,17.5582678,44.00%,32.94725833,11.00%,27.51858444,-74.00%,70.72740807,-62.00%
