Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2016年8月24日,207.65,19.11,54.58292041,60.00%,54.60327925,-87.00%,234.7988169,29.00%,140.5194008,-124.00%
2016年8月25日,207.65,16,56.31983665,67.00%,60.73959365,-71.00%,281.3314125,63.00%,176.4912193,-96.00%
2016年8月26日,207.85,15.39,41.1226361,1.00%,62.58509428,-66.00%,224.8299911,21.00%,182.2278923,-91.00%
2016年8月29日,207.45,13.25,24.52906847,-72.00%,65.762726,-58.00%,199.371876,3.00%,181.8726339,-92.00%
2016年8月30日,206.9,13.05,5.168365312,-156.00%,66.79232011,-55.00%,306.6731776,82.00%,196.3258798,-80.00%
2016年8月31日,206.95,11.5,5.990392308,-153.00%,67.28997677,-54.00%,316.1006297,89.00%,204.2563483,-74.00%
2016年9月1日,206.85,11.46,6.18902254,-152.00%,69.10326141,-49.00%,226.2732001,23.00%,216.4615414,-64.00%
2016年9月2日,207.15,11,3.492391731,-164.00%,71.07617356,-44.00%,123.5969254,-53.00%,228.6022162,-55.00%
2016年9月6日,208.4,10.87,9.269951456,-138.00%,70.59083678,-45.00%,29.87251242,-122.00%,232.4270151,-52.00%
2016年9月7日,209.3,4.48,15.2808115,-112.00%,70.19884783,-46.00%,64.38469473,-97.00%,233.554469,-51.00%
2016年9月8日,209.6,4.46,17.55838261,-102.00%,67.46015842,-54.00%,84.53242733,-82.00%,232.5919489,-52.00%
2016年9月9日,208.85,5.11,13.61325824,-119.00%,61.19677236,-70.00%,79.0452299,-86.00%,234.8015017,-50.00%
2016年9月12日,209.6,5.1,7.377804551,-147.00%,60.08525785,-73.00%,59.88605901,-100.00%,239.4604094,-46.00%
2016年9月13日,209.55,4.67,4.562367806,-159.00%,57.61794951,-79.00%,77.90754202,-87.00%,244.6380115,-42.00%
2016年9月14日,214.8,13.29,34.58530324,-28.00%,54.31632787,-87.00%,167.645569,-21.00%,248.2750304,-39.00%
2016年9月15日,215.2,13.08,44.31518927,15.00%,54.31632787,-87.00%,249.8329614,40.00%,260.347813,-30.00%
2016年9月16日,215.15,13.23,42.63539375,8.00%,51.97850467,-93.00%,274.0210036,58.00%,270.2778144,-22.00%
2016年9月19日,214.9,13.48,34.76698434,-27.00%,49.24741297,-100.00%,228.0398792,24.00%,271.3946339,-21.00%
2016年9月20日,215.55,13.47,4.157787873,-161.00%,51.20040424,-95.00%,230.50986,26.00%,279.2769393,-15.00%
2016年9月21日,214.5,14.16,5.531075845,-155.00%,53.3935175,-90.00%,282.6113606,64.00%,283.7406266,-11.00%
2016年9月22日,218.75,16.22,24.26567947,-73.00%,60.45407065,-72.00%,244.1941462,36.00%,257.4406561,-32.00%
2016年9月23日,219.25,16.28,31.78629894,-40.00%,66.310132,-56.00%,205.1991921,7.00%,225.9389828,-57.00%
2016年9月26日,219,16.38,31.45957406,-41.00%,70.24928769,-46.00%,194.0580016,-1.00%,216.1776266,-65.00%
