Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_Shanghai Composite,Change %_Shanghai Composite,local risk covarience_Shanghai Composite,向量寬度_Shanghai Composite,Price_USD_CNH,Change %_USD_CNH,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
"Feb 12, 2015",24422.15,0.0044,0.08313605715933405,0.809382890924814,0.129980187964004,-1.1079005594679494,0.1697827099084236,-1.23354531327881,0.14035785476446275,-0.9741426954209863,-0.2594026178578236,2088.48,0.0096,11.693743775377309,127.37694406172159,3173.42,0.005,5.152617680609451,0.025763088403047255,6.241,-0.001,119.11,-0.0113,1.988,-0.0163,1.9672780814641084,0.011740412861535168,0.020397010075846198
"Feb 13, 2015",24682.54,0.010700000000000001,0.1256424928119466,1.7749110885767332,0.12899007428154236,-1.1343732106985975,0.33288878099091346,1.1214999089638125,0.14527204929342855,-0.8306716882050207,1.9521715971688332,2096.99,0.0040999999999999995,11.770461470965529,-160.87624047154168,3203.83,0.0096,-16.464520242610075,-0.1580593943290567,6.2446,0.0006,118.75,-0.003,2.047,0.0297,1.6111373558447188,-0.04822662464054722,-0.011006699864509473
"Feb 17, 2015",24784.88,0.0024,0.11114082958121209,0.4488156454922113,0.11068684132319062,-2.1342152700571773,0.3228025567489681,0.5587041752702009,0.18570604947932037,-0.1636368084138432,0.7223409836840441,2100.34,0.0016,11.800413266423531,-62.9089540722598,3246.91,0.0076,-4.745532367697336,-0.03606604599449976,6.2763,0.0016,119.25,0.006500000000000001,2.145,0.062400000000000004,0.5168196961057251,-0.0611244799779925,-0.05199797104346429
"Feb 25, 2015",24778.28,0.0011,0.03721886618369824,-0.8415399502463764,0.08014822912316194,-2.1125695881449933,0.47686689463254406,0.44891656690045695,0.3194011707399058,2.2327374478793667,-1.7838208809789098,2113.86,-0.0008,11.721816960442034,-47.16319899029622,3228.84,-0.005600000000000001,4.499535436874817,-0.02519739844649898,6.2712,0.0012,118.86,-0.001,1.972,0.0,-1.40495189664415,0.030898391815181392,0.005618707798461263
"Feb 26, 2015",24902.06,0.005,0.04872982659521818,-0.10061130267776801,0.08084916951042993,-1.7979820111026599,0.20298832305368592,-1.7180922230150222,0.34112146212725636,2.2716594417194873,-3.9897516647345093,2110.74,-0.0015,11.797786558268665,-160.35206891658527,3298.36,0.0215,-15.214062077246776,-0.3271023346608057,6.2799,0.0014000000000000002,119.42,0.004699999999999999,2.031,0.029900000000000003,-0.44983070189548513,0.027203579852612923,0.025917056844611513
"Feb 27, 2015",24823.29,-0.0032,0.055394981722174434,0.5157285926310294,0.08135694451644893,-1.5573822158893889,0.1920578240390517,-1.122016728384229,0.36129457868635323,2.152938685898544,-3.274955414282773,2104.5,-0.003,11.795338560228084,5.1518118764070095,3310.3,0.0036,-3.2863780899927937,-0.011830961123974058,6.2868,0.0011,119.54,0.001,1.996,-0.0172,0.2057080809866876,0.027955239798945604,0.03419478512086166
"Mar 02, 2015",24887.44,0.0026,0.05868202450495413,1.131961621026253,0.07137208432610434,-1.7425462886534646,0.15438886196767232,-0.8886190864553932,0.38117761858516697,2.025939260700368,-2.9145583471557615,2117.39,0.0060999999999999995,11.753829006465507,87.8919140413418,3336.28,0.0078000000000000005,-13.606687688085241,-0.10613216396706489,6.2904,0.0006,120.13,0.0049,2.089,0.0418,0.5656820879869164,0.027329541939366472,0.038338529930191934
"Mar 03, 2015",24702.78,-0.0074,0.07827275388026182,1.5003512241217407,0.07549690338717575,-1.4061613839178275,0.23925814536974696,-0.10765302246477884,0.3889789374334519,1.812109495054331,-1.91976251751911,2107.78,-0.0045000000000000005,11.719809467781266,71.70570324786968,3263.05,-0.0219,-26.12021983522647,0.5720328143914597,6.285,-0.0009,119.73,-0.0033,2.122,0.0158,0.6708311252624142,0.00716587973834594,0.029778943041346206
"Mar 04, 2015",24465.38,-0.0096,0.09950670329178864,1.5158572384651245,0.083408337334118,-0.9822451495350986,0.32871960734796446,1.5907996586825734,0.38445011565453735,1.5482410973378213,0.04255856134475211,2098.53,-0.0044,11.658341791635097,128.991762423022,3279.53,0.0051,-12.15226290633975,-0.06197654082233273,6.2876,0.0004,119.68,-0.0004,2.119,-0.0014000000000000002,-0.06951032587755296,-0.0196657828196099,0.011723662473299104
"Mar 05, 2015",24193.04,-0.0111,0.08781056883997553,0.6300024417635639,0.09133539810702276,-0.5829667021878704,0.29927520169075544,0.7807173524430792,0.3769696590281784,1.3160854955831933,-0.5353681431401142,2101.04,0.0012,11.514792674104253,301.60243789700326,3248.48,-0.0095,-4.613431749381548,0.043827601619124704,6.2746,-0.0021,120.15,0.0039000000000000003,2.117,-0.0009,-0.9159106117260459,-0.009133464663188137,0.0027436977289562875
